RFI_ID,Project_ID,RFI_Title,Discipline,Submitted_Date,Required_Response_Date,Response_Date,RFI_Status,Response_Days,Responsible_Party,Cost_Impact,Schedule_Impact_Days,Priority
RFI-00044,PRJ-003,Electrical clarification item 44,Electrical,2025-10-24,2025-11-03,2025-11-07,Answered,14,Designer,0,0,Normal
RFI-00045,PRJ-003,Plumbing clarification item 45,Plumbing,2024-07-29,2024-08-08,2024-08-17,Closed,19,Contractor,23800,5,Normal
RFI-00046,PRJ-003,Structural clarification item 46,Structural,2023-03-11,2023-03-21,2023-03-29,Answered,18,Owner,0,0,Normal
RFI-00047,PRJ-003,Architectural clarification item 47,Architectural,2024-09-12,2024-09-22,2024-10-03,Answered,21,Owner,0,0,Normal
RFI-00048,PRJ-003,Structural clarification item 48,Structural,2024-05-26,2024-06-05,2024-06-11,Closed,16,Contractor,0,0,Normal
RFI-00049,PRJ-003,General clarification item 49,General,2024-12-28,2025-01-04,2025-01-09,Answered,12,Designer,0,0,High
RFI-00050,PRJ-003,Civil clarification item 50,Civil,2025-01-03,2025-01-17,2025-01-28,Answered,25,External,0,0,Low
RFI-00051,PRJ-003,General clarification item 51,General,2025-04-24,2025-05-01,2025-05-11,Closed,17,Owner,0,0,High
RFI-00052,PRJ-003,Fire Protection clarification item 52,Fire Protection,2024-08-21,2024-08-31,2024-09-18,Answered,28,Contractor,0,0,Normal
RFI-00053,PRJ-004,Fire Protection clarification item 53,Fire Protection,2024-09-03,2024-09-13,,Open,,Contractor,0,0,Normal
RFI-00054,PRJ-004,Plumbing clarification item 54,Plumbing,2025-03-09,2025-03-19,,Open,,Contractor,0,0,Normal
RFI-00055,PRJ-004,General clarification item 55,General,2023-08-16,2023-08-26,2023-08-31,Answered,15,Designer,63800,4,Normal
RFI-00056,PRJ-004,Architectural clarification item 56,Architectural,2023-01-08,2023-01-18,2023-01-28,Answered,20,Designer,0,0,Normal
RFI-00057,PRJ-004,Architectural clarification item 57,Architectural,2023-04-28,2023-05-08,2023-05-13,Closed,15,External,0,0,Normal
RFI-00058,PRJ-004,Civil clarification item 58,Civil,2024-04-12,2024-04-22,2024-05-12,Closed,30,Contractor,12000,4,Normal
RFI-00059,PRJ-004,Plumbing clarification item 59,Plumbing,2023-08-15,2023-08-25,2023-09-06,Closed,22,Designer,0,0,Normal
RFI-00060,PRJ-004,Architectural clarification item 60,Architectural,2025-06-10,2025-06-20,,Open,,Designer,0,0,Normal
RFI-00061,PRJ-004,Electrical clarification item 61,Electrical,2023-07-23,2023-07-26,2023-08-09,Answered,17,Designer,0,0,Critical
RFI-00062,PRJ-004,Civil clarification item 62,Civil,2024-01-07,2024-01-14,,Open,,Owner,0,0,High
RFI-00063,PRJ-004,Structural clarification item 63,Structural,2022-06-20,2022-06-30,7/18/22,Answered,28,Designer,0,0,Normal
RFI-00064,PRJ-004,Mechanical clarification item 64,Mechanical,2023-11-01,2023-11-08,2023-11-19,Answered,18,Contractor,0,0,High
RFI-00065,PRJ-004,Structural clarification item 65,Structural,2022-08-26,2022-09-05,2022-09-10,closed,15,Designer,0,0,Normal
RFI-00066,PRJ-004,Mechanical clarification item 66,Mechanical,2022-11-03,2022-11-13,2022-11-26,Answered,23,Designer,0,0,Normal
RFI-00067,PRJ-004,Architectural clarification item 67,Architectural,2024-02-15,2024-02-29,2024-03-03,Answered,17,Designer,0,0,Low
RFI-00068,PRJ-004,Plumbing clarification item 68,Plumbing,2023-01-21,2023-01-24,2023-01-31,Answered,10,Designer,0,0,Critical
RFI-00069,PRJ-004,Civil clarification item 69,Civil,2023-09-05,2023-09-08,2023-09-21,Answered,16,Designer,0,0,Critical
RFI-00070,PRJ-004,Plumbing clarification item 70,Plumbing,2024-02-17,2024-02-27,,Open,,Designer,7600,0,Normal
RFI-00071,PRJ-004,Mechanical clarification item 71,Mechanical,2025-08-20,2025-08-30,,Open,,Designer,0,0,Normal
RFI-00072,PRJ-004,Structural clarification item 72,Structural,2023-10-09,2023-10-16,2023-10-20,Closed,11,Owner,0,0,High
RFI-00073,PRJ-004,Structural clarification item 73,Structural,2024-04-22,2024-04-29,2024-05-09,Answered,17,Designer,19600,4,High
RFI-00074,PRJ-004,Electrical clarification item 74,Electrical,2024-03-05,2024-03-15,2024-04-03,Closed,29,Designer,0,0,Normal
RFI-00075,PRJ-005,Architectural clarification item 75,Architectural,2023-05-19,2023-05-26,2023-06-05,Closed,17,External,0,0,High
RFI-00076,PRJ-005,Fire Protection clarification item 76,Fire Protection,2023-09-05,2023-09-19,,Open,,Contractor,3400,4,Low
RFI-00077,PRJ-005,Structural clarification item 77,Structural,2024-06-02,2024-06-12,2024-06-28,Answered,26,Owner,0,0,Normal
RFI-00078,PRJ-005,Architectural clarification item 78,Architectural,2022-10-22,2022-11-01,2022-11-05,Closed,14,Contractor,0,0,Normal
RFI-00079,PRJ-005,Plumbing clarification item 79,Plumbing,2023-07-01,2023-07-08,2023-07-10,Closed,9,Contractor,5300,6,High
RFI-00080,PRJ-005,General clarification item 80,General,2023-04-01,2023-04-11,2023-04-13,Answered,12,Owner,0,0,Normal
RFI-00081,PRJ-005,Plumbing clarification item 81,Plumbing,2023-08-06,2023-08-20,2023-08-18,Answered,12,Contractor,0,0,Low
RFI-00082,PRJ-005,Mechanical clarification item 82,Mechanical,2024-01-14,2024-01-21,2024-01-29,Closed,15,Designer,0,0,High
RFI-00083,PRJ-005,Architectural clarification item 83,Architectural,2025-04-23,2025-04-30,,Open,,Owner,0,0,High
RFI-00084,PRJ-005,Mechanical clarification item 84,Mechanical,2023-04-29,2023-05-06,2023-05-12,Answered,13,Designer,0,0,High
RFI-00085,PRJ-005,Civil clarification item 85,Civil,2024-03-21,2024-03-28,2024-03-31,Closed,10,Contractor,0,0,High
RFI-00086,PRJ-005,Architectural clarification item 86,Architectural,2024-01-23,2024-02-02,2024-02-12,Closed,20,Contractor,0,0,Normal
RFI-00087,PRJ-005,General clarification item 87,General,2024-05-02,2024-05-12,2024-05-19,Closed,17,Owner,0,0,Normal
RFI-00088,PRJ-006,Structural clarification item 88,Structural,2023-06-08,2023-06-15,2023-06-24,Answered,16,Designer,5500,2,High
RFI-00089,PRJ-006,Electrical clarification item 89,Electrical,2024-02-20,2024-03-05,2024-03-19,Answered,28,Owner,0,0,Low
RFI-00090,PRJ-006,Architectural clarification item 90,Architectural,2022-04-22,2022-05-02,2022-05-06,Answered,14,Contractor,0,0,Normal
RFI-00091,PRJ-006,Civil clarification item 91,Civil,2024-10-31,2024-11-03,2024-11-02,Answered,2,Contractor,22500,4,Critical
RFI-00092,PRJ-006,General clarification item 92,General,2024-02-15,2024-02-29,2024-03-05,Closed,19,Owner,4900,4,Low
RFI-00093,PRJ-006,Fire Protection clarification item 93,Fire Protection,2024-03-10,2024-03-20,2024-03-27,Answered,17,Contractor,0,0,Normal
RFI-00094,PRJ-006,Fire Protection clarification item 94,Fire Protection,2023-04-28,2023-05-08,2023-05-10,Answered,12,Designer,0,0,Normal
RFI-00095,PRJ-006,Electrical clarification item 95,Electrical,2024-05-24,2024-06-07,2024-06-05,Answered,12,Designer,0,0,Low
RFI-00096,PRJ-006,Electrical clarification item 96,Electrical,2021-08-01,2021-08-08,2021-08-12,Answered,11,Designer,32300,6,High
RFI-00097,PRJ-006,Plumbing clarification item 97,Plumbing,2023-08-03,2023-08-10,2023-08-15,Closed,12,Designer,40900,2,High
RFI-00098,PRJ-006,Civil clarification item 98,Civil,2024-07-17,2024-07-24,2024-08-04,Answered,18,Designer,0,0,High
RFI-00099,PRJ-006,Architectural clarification item 99,Architectural,2024-10-23,2024-11-02,2024-11-11,Answered,19,Designer,0,0,Normal
RFI-00100,PRJ-006,Electrical clarification item 100,Electrical,2023-05-13,2023-05-20,2023-05-25,Answered,12,Designer,0,0,High
RFI-00101,PRJ-006,Structural clarification item 101,Structural,2023-01-04,2023-01-11,2023-01-17,Closed,13,Designer,0,0,High
RFI-00102,PRJ-006,Plumbing clarification item 102,Plumbing,2022-10-21,2022-10-28,2022-11-08,Answered,18,Designer,0,0,High
RFI-00103,PRJ-006,Plumbing clarification item 103,Plumbing,2024-08-11,2024-08-21,2024-08-18,Closed,7,Contractor,76100,2,Normal
RFI-00104,PRJ-006,Electrical clarification item 104,Electrical,2022-06-11,2022-06-14,2022-07-04,Closed,23,Designer,20300,6,Critical
RFI-00105,PRJ-006,Architectural clarification item 105,Architectural,2024-08-05,2024-08-15,2024-08-19,Closed,14,Contractor,0,0,Normal
RFI-00106,PRJ-006,Civil clarification item 106,Civil,2022-08-12,2022-08-19,2022-08-24,Answered,12,Contractor,67300,0,High
RFI-00107,PRJ-007,General clarification item 107,General,2024-06-21,2024-07-05,2024-07-16,Answered,25,External,0,0,Low
RFI-00108,PRJ-007,Mechanical clarification item 108,Mechanical,2025-01-11,2025-01-18,2025-02-06,Closed,26,Designer,0,0,High
RFI-00109,PRJ-007,Structural clarification item 109,Structural,2023-12-16,2023-12-23,2024-01-02,Answered,17,Owner,17900,4,High
RFI-00110,PRJ-007,Civil clarification item 110,Civil,2024-04-03,2024-04-10,2024-04-11,Answered,8 days,Owner,38100,5,High
RFI-00111,PRJ-007,Civil clarification item 111,Civil,2024-05-18,2024-05-28,,Open,,Owner,0,0,Normal
RFI-00112,PRJ-007,Electrical clarification item 112,Electrical,2024-01-29,2024-02-05,2024-01-31,Answered,2,Designer,11400,2,High
RFI-00113,PRJ-007,Electrical clarification item 113,Electrical,2024-02-13,2024-02-23,2024-03-03,Answered,19,Designer,0,0,Normal
RFI-00114,PRJ-007,Architectural clarification item 114,Architectural,2025-06-05,2025-06-15,2025-06-19,Answered,14,Designer,0,0,Normal
RFI-00115,PRJ-007,Architectural clarification item 115,Architectural,2023-11-16,2023-11-26,2023-11-19,Answered,3,Owner,0,0,Normal
RFI-00116,PRJ-007,Structural clarification item 116,Structural,2025-11-11,2025-11-21,2025-12-06,Answered,25,Contractor,0,0,Normal
RFI-00117,PRJ-007,Architectural clarification item 117,Architectural,2023-12-18,2023-12-25,2024-01-01,Closed,14,Designer,0,0,High
RFI-00118,PRJ-007,Mechanical clarification item 118,Mechanical,2023-11-16,2023-11-26,2023-12-06,Closed,20,Designer,0,0,Normal
RFI-00119,PRJ-007,Electrical clarification item 119,Electrical,2025-07-27,2025-08-03,2025-08-13,Answered,17,Designer,0,0,High
RFI-00120,PRJ-007,Structural clarification item 120,Structural,2024-03-26,2024-04-05,2024-04-03,Closed,8,Designer,0,0,Normal
RFI-00121,PRJ-007,Mechanical clarification item 121,Mechanical,2025-07-07,2025-07-14,2025-07-26,Answered,19,Contractor,0,0,High
RFI-00122,PRJ-007,Architectural clarification item 122,Architectural,2024-04-26,2024-05-10,2024-05-06,Answered,10,Designer,15300,5,Low
RFI-00123,PRJ-007,Plumbing clarification item 123,Plumbing,2024-05-07,2024-05-17,2024-06-02,Answered,26,Owner,17300,4,Normal
RFI-00124,PRJ-007,Plumbing clarification item 124,Plumbing,2024-01-29,2024-02-01,2024-02-16,Answered,18,Designer,0,0,Critical
RFI-00125,PRJ-007,Mechanical clarification item 125,Mechanical,2024-03-27,2024-04-06,2024-04-13,Answered,17,Owner,2800,5,Normal
RFI-00126,PRJ-007,Electrical clarification item 126,Electrical,2024-03-23,2024-03-30,2024-04-05,Answered,13,Designer,16400,0,High
RFI-00127,PRJ-008,Civil clarification item 127,Civil,2024-06-28,2024-07-08,2024-07-12,Answered,14,Owner,0,0,Normal
RFI-00128,PRJ-008,Electrical clarification item 128,Electrical,2023-11-19,2023-11-26,2023-12-11,Answered,22,Designer,0,0,High
RFI-00129,PRJ-008,Electrical clarification item 129,Electrical,2024-04-20,2024-04-27,,Open,,Owner,25900,1,High
RFI-00130,PRJ-008,Plumbing clarification item 130,Plumbing,2024-10-31,2024-11-07,,Open,,Designer,21600,3,High
RFI-00131,PRJ-008,Mechanical clarification item 131,Mechanical,2025-04-19,2025-04-26,2025-05-06,Answered,17,Designer,0,0,High
RFI-00132,PRJ-008,Electrical clarification item 132,Electrical,2025-01-06,2025-01-16,2025-01-18,Closed,12,Designer,0,0,Normal
RFI-00133,PRJ-008,Fire Protection clarification item 133,Fire Protection,2025-11-13,2025-11-23,,Open,,Designer,26300,3,Normal
RFI-00134,PRJ-008,Civil clarification item 134,Civil,2024-12-12,2024-12-19,2025-01-03,Answered,22,Designer,35200,4,High
RFI-00135,PRJ-008,Civil clarification item 135,Civil,2024-07-05,2024-07-15,,Open,,Designer,30600,5,Normal
RFI-00136,PRJ-008,Mechanical clarification item 136,Mechanical,2024-11-27,2024-12-07,2024-12-18,Answered,21,Designer,0,0,Normal
RFI-00137,PRJ-008,Electrical clarification item 137,Electrical,2023-10-09,2023-10-19,2023-11-12,Answered,34,Designer,0,0,Normal
RFI-00138,PRJ-008,Civil clarification item 138,Civil,2025-04-10,2025-04-20,2025-04-26,Closed,16,Designer,0,0,Normal
RFI-00139,PRJ-008,Structural clarification item 139,Structural,2023-12-13,2023-12-16,2023-12-30,Closed,17,Owner,0,0,Critical
RFI-00140,PRJ-008,Electrical clarification item 140,Electrical,2025-12-28,2026-01-11,2026-01-28,Answered,31,Owner,0,0,Low
RFI-00141,PRJ-008,Electrical clarification item 141,Electrical,2025-01-23,2025-01-30,2025-02-12,Answered,20,Owner,16600,5,High
RFI-00142,PRJ-008,Structural clarification item 142,Structural,2024-06-05,2024-06-15,,Open,,Owner,45200,9,Normal
RFI-00143,PRJ-008,Fire Protection clarification item 143,Fire Protection,2025-02-07,2025-02-17,2025-02-26,Closed,19,Contractor,0,0,Normal
RFI-00144,PRJ-008,Mechanical clarification item 144,Mechanical,2023-12-10,2023-12-20,2023-12-27,Closed,17,Contractor,10500,4,Normal
RFI-00145,PRJ-008,Civil clarification item 145,Civil,2024-04-05,2024-04-15,2024-04-24,Answered,19,Designer,0,0,Normal
RFI-00146,PRJ-008,Civil clarification item 146,Civil,2025-02-16,2025-02-19,2025-02-22,Answered,6,Contractor,32900,6,Critical
RFI-00147,PRJ-008,Electrical clarification item 147,Electrical,2025-06-23,2025-06-30,2025-07-03,Closed,10,Designer,0,0,High
RFI-00148,PRJ-008,Mechanical clarification item 148,Mechanical,2024-07-30,2024-08-13,,Open,,Owner,66800,4,Low
RFI-00149,PRJ-008,Architectural clarification item 149,Architectural,2024-02-16,2024-02-26,2024-03-09,Closed,22,External,0,0,Normal
RFI-00150,PRJ-008,Architectural clarification item 150,Architectural,2025-10-13,2025-10-20,2025-10-30,Closed,17,Designer,9100,10,High
RFI-00151,PRJ-009,Structural clarification item 151,Structural,2022-02-13,2022-02-23,2022-03-10,Answered,25,Owner,0,0,Normal
RFI-00152,PRJ-009,Plumbing clarification item 152,Plumbing,2023-06-17,2023-06-27,2023-07-11,Closed,24,Contractor,0,0,Normal
RFI-00153,PRJ-009,Electrical clarification item 153,Electrical,2022-05-01,2022-05-04,2022-05-23,Closed,22 days,External,25400,5,Critical
RFI-00154,PRJ-009,Structural clarification item 154,Structural,2022-10-01,2022-10-11,2022-11-01,Answered,31,External,0,0,Normal
RFI-00155,PRJ-009,Structural clarification item 155,Structural,2022-12-02,2022-12-12,,Open,,Designer,0,0,Normal
RFI-00156,PRJ-009,Plumbing clarification item 156,Plumbing,2023-02-12,2023-02-19,2023-02-23,Answered,11,Designer,3300,6,High
RFI-00157,PRJ-009,Architectural clarification item 157,Architectural,2023-02-04,2023-02-14,2023-02-19,Closed,15,Contractor,0,0,Normal
RFI-00158,PRJ-009,Structural clarification item 158,Structural,2023-05-26,2023-06-05,2023-06-15,Closed,20,Contractor,0,0,Normal
RFI-00159,PRJ-009,Architectural clarification item 159,Architectural,2022-07-26,2022-07-29,2022-08-15,Closed,20,Owner,11100,8,Critical
RFI-00160,PRJ-009,Mechanical clarification item 160,Mechanical,2023-09-03,2023-09-13,2023-09-21,Answered,18,Designer,49700,6,Normal
RFI-00161,PRJ-009,Plumbing clarification item 161,Plumbing,2023-05-20,2023-05-27,,Open,,Owner,0,0,High
RFI-00162,PRJ-009,Architectural clarification item 162,Architectural,2022-03-23,2022-04-02,,Open,,Designer,0,0,Normal
RFI-00163,PRJ-009,Mechanical clarification item 163,Mechanical,2023-03-19,2023-03-29,2023-04-15,Answered,27,Designer,0,0,Normal
RFI-00164,PRJ-009,Electrical clarification item 164,Electrical,2023-07-21,2023-07-31,2023-08-19,Answered,29,Owner,0,0,Normal
RFI-00165,PRJ-009,Civil clarification item 165,Civil,2022-01-27,2022-02-06,2022-02-17,Closed,21,Designer,88200,0,Normal
RFI-00166,PRJ-009,Plumbing clarification item 166,Plumbing,2022-11-11,2022-11-21,2022-12-08,Answered,27,Contractor,0,0,Normal
RFI-00167,PRJ-009,Architectural clarification item 167,Architectural,2022-03-23,2022-03-30,,Open,,Contractor,17200,4,High
RFI-00168,PRJ-009,Civil clarification item 168,Civil,2023-10-18,2023-10-28,2023-11-10,Answered,23,Designer,0,0,Normal
RFI-00169,PRJ-009,Electrical clarification item 169,Electrical,2023-02-22,2023-03-04,,Answered,19,External,0,0,Normal
RFI-00170,PRJ-009,Architectural clarification item 170,Architectural,2023-04-12,2023-04-22,2023-05-07,Answered,25,Designer,0,0,Normal
RFI-00171,PRJ-009,Electrical clarification item 171,Electrical,2023-03-01,2023-03-11,2023-03-30,Answered,29,Designer,0,0,Normal
RFI-00172,PRJ-009,Electrical clarification item 172,Electrical,2023-09-26,2023-10-06,2023-10-28,Closed,32,Owner,7500,2,Normal
RFI-00173,PRJ-009,Mechanical clarification item 173,Mechanical,2022-07-28,2022-08-07,2022-08-03,Closed,6,Contractor,0,0,Normal
RFI-00174,PRJ-009,Structural clarification item 174,Structural,2023-10-14,2023-10-21,2023-11-02,Answered,19,Designer,53400,6,High
RFI-00175,PRJ-009,Mechanical clarification item 175,Mechanical,2023-01-09,2023-01-19,2023-01-23,Closed,14,Owner,7300,5,Normal
RFI-00176,PRJ-009,Mechanical clarification item 176,Mechanical,2022-02-08,2022-02-18,2022-03-05,Closed,25,External,4400,9,Normal
RFI-00177,PRJ-009,Structural clarification item 177,Structural,2022-11-30,2022-12-10,2022-12-26,Closed,26,Designer,101100,8,Normal
RFI-00178,PRJ-009,Structural clarification item 178,Structural,2022-02-04,2022-02-11,2022-02-21,Answered,17,Contractor,0,0,High
RFI-00179,PRJ-010,Architectural clarification item 179,Architectural,2023-12-01,2023-12-08,2023-12-10,Closed,9,Designer,30400,4,High
RFI-00180,PRJ-010,Plumbing clarification item 180,Plumbing,2024-06-24,2024-07-04,2024-07-14,Answered,20,Owner,0,0,Normal
RFI-00181,PRJ-010,Plumbing clarification item 181,Plumbing,2024-09-09,2024-09-16,2024-09-10,Answered,1,Designer,0,0,High
RFI-00182,PRJ-010,Structural clarification item 182,Structural,2024-07-06,2024-07-16,,Open,,Designer,0,0,Normal
RFI-00183,PRJ-010,Electrical clarification item 183,Electrical,2023-08-12,2023-08-19,2023-08-20,Ans,8,Contractor,0,0,High
RFI-00184,PRJ-010,Civil clarification item 184,Civil,2023-07-30,2023-08-06,2023-08-16,Answered,17,Designer,0,0,High
RFI-00185,PRJ-010,Mechanical clarification item 185,Mechanical,2022-05-30,2022-06-09,2022-06-09,Answered,10,Designer,0,0,Normal
RFI-00186,PRJ-010,Architectural clarification item 186,Architectural,2024-08-23,2024-09-02,2024-09-11,Answered,19,Owner,0,0,Normal
RFI-00187,PRJ-010,Mechanical clarification item 187,Mechanical,2023-04-24,2023-05-04,2023-05-05,Closed,11,Designer,0,0,Normal
RFI-00188,PRJ-010 ,Architectural clarification item 188,Architectural,2022-11-07,2022-11-17,2022-11-16,Answered,9,Designer,0,0,Normal
RFI-00189,PRJ-010,Plumbing clarification item 189,Plumbing,2023-09-07,2023-09-14,2023-09-25,Answered,18,Contractor,0,0,High
RFI-00190,PRJ-010,Plumbing clarification item 190,Plumbing,2022-09-13,2022-09-16,2022-09-14,Closed,1,Designer,18400,0,Critical
RFI-00191,PRJ-010,Civil clarification item 191,Civil,2022-04-19,2022-05-03,2022-05-03,CLOSED,14,Designer,0,0,Low
RFI-00192,PRJ-010,Structural clarification item 192,Structural,2024-06-14,2024-06-24,2024-06-26,Answered,12,Owner,0,0,Normal
RFI-00193,PRJ-010,Civil clarification item 193,Civil,2024-01-30,2024-02-09,2024-02-22,Closed,23,Contractor,13100,0,Normal
RFI-00194,PRJ-010,General clarification item 194,General,2022-06-21,2022-06-28,2022-06-24,Answered,3,Owner,0,0,High
RFI-00195,PRJ-010,Mechanical clarification item 195,Mechanical,2023-07-11,2023-07-21,2023-07-21,Answered,10,Designer,0,0,Normal
RFI-00196,PRJ-010,Mechanical clarification item 196,Mechanical,2022-04-23,2022-05-03,2022-05-12,Answered,19,Designer,0,0,Normal
RFI-00197,PRJ-010,Mechanical clarification item 197,Mechanical,2024-06-09,2024-06-19,2024-06-25,Answered,16,Owner,0,0,Normal
RFI-00198,PRJ-011,Architectural clarification item 198,Architectural,2023-04-23,2023-05-03,2023-04-28,Closed,5,Designer,0,0,Normal
RFI-00199,PRJ-011,General clarification item 199,General,2024-02-12,2024-02-22,2024-03-01,Answered,18,Designer,0,0,Normal
RFI-00200,PRJ-011,Architectural clarification item 200,Architectural,2024-01-06,2024-01-16,2024-01-19,Answered,13,Designer,0,0,Normal
RFI-00201,PRJ-011,Electrical clarification item 201,Electrical,2023-06-09,2023-06-19,,Open,,Contractor,18300,1,Normal
RFI-00202,PRJ-011,Plumbing clarification item 202,Plumbing,2023-02-04,2023-02-11,2023-02-13,Closed,9,Contractor,0,0,High
RFI-00203,PRJ-011,Mechanical clarification item 203,Mechanical,2023-04-08,2023-04-15,2023-04-17,Closed,9,Contractor,0,0,High
RFI-00204,PRJ-011,Architectural clarification item 204,Architectural,2023-12-03,2023-12-13,2023-12-25,Closed,22,Owner,0,0,Normal
