Change_Order_ID,Project_ID,Change_Title,Change_Category,Responsible_Party,Submitted_Date,Approved_Date,Submitted_Value,Approved_Value,Schedule_Impact_Days,Change_Status,Discipline
CO-00061,PRJ-008,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2025-01-13,2025-03-22,1530900,1181800,14,Approved,Plumbing
CO-00056,PRJ-008,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2025-04-14,2025-06-14,270300,203500,5,Approved,Architectural
CO-00052,PRJ-008,Scope Clarification - Electrical package,Scope Clarification,Owner,2025-05-25,2025-07-29,1576400,1555600,0,Approved,Electrical
CO-00051,PRJ-008,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2025-08-13,,726800,,10,Withdrawn,Mechanical
CO-00053,PRJ-008,Design Error or Omission - Civil package,Design Error or Omission,Designer,2025-12-08,2025-12-11,248800,193800,14,Approved,Civil
CO-00068,PRJ-009,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2022-01-15,,24400,,18,Pending,Fire Protection
CO-00062,PRJ-009,Coordination Issue - Plumbing package,Coordination Issue,Contractor,2022-04-13,2022-06-04,154800,116400,3,Approved,Plumbing
CO-00066,PRJ-009,Unforeseen Condition - Mechanical package,Unforeseen Condition,External,2022-06-02,2022-07-24,193700,176100,20,Approved,Mechanical
CO-00064,PRJ-009,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2022-08-14,,189300,,20,Pending,Fire Protection
CO-00069,PRJ-009,Scope Clarification - Mechanical package,Scope Clarification,Owner,2022-09-20,2022-11-28,473400,374600,1,Approved,Mechanical
CO-00067,PRJ-009,Design Error or Omission - Structural package,Design Error or Omission,Designer,2023-01-14,,26900,,16,Pending,Structural
CO-00065,PRJ-009,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2023-05-16,2023-07-14,67700,63600,10,Approved,Mechanical
CO-00063,PRJ-009,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2023-10-30,2024-01-07,177300,146200,16,Approved,Architectural
CO-00070,PRJ-009,Utility Conflict - Plumbing package,Utility Conflict,External,2023-12-04,,123100,,13,Pending,Plumbing
CO-00073,PRJ-010,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2022-07-05,2022-08-26,347800,326100,1,Approved,Architectural
CO-00072,PRJ-010,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2023-08-02,,235100,,2,Withdrawn,Structural
CO-00075,PRJ-010,Scope Clarification - Mechanical package,Scope Clarification,Owner,2024-01-24,2024-02-11,100000,100300,6,Approved,Mechanical
CO-00074,PRJ-010,Coordination Issue - Structural package,Coordination Issue,Contractor,2024-02-17,2024-04-12,401800,353300,9,Approved,Structural
CO-00071,PRJ-010,Contractor-Requested Change - Electrical package,Contractor-Requested Change,Contractor,2024-08-22,,186900,,4,Pending,Electrical
CO-00079,PRJ-011,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2022-12-07,2023-01-01,82400,82700,3,Approved,Mechanical
CO-00081,PRJ-011,Design Error or Omission - Civil package,Design Error or Omission,Designer,2023-02-15,,131900,,0,Pending,Civil
CO-00078,PRJ-011,Contractor-Requested Change - Civil package,Contractor-Requested Change,Contractor,2023-10-24,2023-12-18,62000,49400,4,Approved,Civil
CO-00077,PRJ-011,Weather Impact - Fire Protection package,Weather Impact,External,2024-03-08,2024-05-03,30600,22300,3,Approved,Fire Protection
CO-00080,PRJ-011,Material Substitution - Electrical package,Material Substitution,Contractor,2024-05-28,2024-07-08,92900,68300,6,Approved,Electrical
CO-00076,PRJ-011,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2024-08-04,2024-09-18,77600,55900,3,Approved,Architectural
CO-00082,PRJ-012,Unforeseen Condition - Plumbing package,Unforeseen Condition,External,2023-03-28,2023-04-27,202600,190000,8,Approved,Plumbing
CO-00083,PRJ-012,Design Error or Omission - Structural package,Design Error or Omission,Designer,2023-04-14,2023-04-20,58900,50400,6,Approved,Structural
CO-00088,PRJ-012,Coordination Issue - Architectural package,Coordination Issue,Contractor,2023-08-04,2023-09-19,59700,58800,0,Approved,Architectural
CO-00087,PRJ-012,Coordination Issue - Plumbing package,Coordination Issue,Contractor,2023-09-16,2023-10-24,38100,34200,3,Approved,Plumbing
CO-00086,PRJ-012,Material Substitution - Fire Protection package,Material Substitution,Contractor,2023-11-20,2024-01-09,57400,46100,4,Approved,Fire Protection
CO-00085,PRJ-012,Scope Clarification - Civil package,Scope Clarification,Owner,2025-05-03,,53900,,7,Rejected,Civil
CO-00084,PRJ-012,Design Error or Omission - Structural package,Design Error or Omission,Designer,2025-12-27,2026-01-10,16400,12700,8,Approved,Structural
CO-00090,PRJ-013,Unforeseen Condition - Mechanical package,Unforeseen Condition,External,2023-01-03,2023-02-02,42100,32200,13,Approved,Mechanical
CO-00092,PRJ-013,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2023-02-02,2023-03-25,87700,74700,15,Approved,Fire Protection
CO-00097,PRJ-013,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2023-05-17,,11300,,9,Pending,Architectural
CO-00094,PRJ-013,Weather Impact - Electrical package,Weather Impact,External,2023-08-05,,26100,,5,Pending,Electrical
CO-00091,PRJ-013,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2023-08-22,2023-10-04,62600,46200,5,Approved,Fire Protection
CO-00089,PRJ-013,Unforeseen Condition - Plumbing package,Unforeseen Condition,External,2023-09-13,2023-11-03,65000,56300,5,Approved,Plumbing
CO-00096,PRJ-013,Coordination Issue - Structural package,Coordination Issue,Contractor,2023-10-30,2023-12-15,62900,63700,0,Approved,Structural
CO-00093,PRJ-013,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2023-11-13,2023-12-19,11600,9300,5,Approved,Fire Protection
CO-00095,PRJ-013,Code or Regulatory Requirement - Electrical package,Code or Regulatory Requirement,External,2024-11-02,2024-12-12,62000,63500,16,Approved,Electrical
CO-00104,PRJ-014,Scope Clarification - Architectural package,Scope Clarification,Owner,2024-03-11,2024-05-09,410200,374500,0,Approved,Architectural
CO-00098,PRJ-014,Design Error or Omission - Civil package,Design Error or Omission,Designer,2024-05-31,2024-06-27,527600,443300,13,Approved,Civil
CO-00105,PRJ-014,Coordination Issue - Mechanical package,Coordination Issue,Contractor,2024-08-03,2024-09-11,386600,358900,12,Approved,Mechanical
CO-00102,PRJ-014,Unforeseen Condition - Structural package,Unforeseen Condition,External,2025-04-11,2025-05-20,346400,349400,16,Approved,Structural
CO-00103,PRJ-014,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2025-04-27,2025-06-01,316800,285900,13,Approved,Electrical
CO-00100,PRJ-014,Scope Clarification - Civil package,Scope Clarification,Owner,2025-09-02,2025-10-11,898800,695000,0,Approved,Civil
CO-00099,PRJ-014,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2025-10-07,2025-12-07,364000,308900,2,Approved,Plumbing
CO-00101,PRJ-014,Coordination Issue - Architectural package,Coordination Issue,Contractor,2025-11-18,2026-01-08,420200,427000,12,Approved,Architectural
CO-00108,PRJ-015,Contractor-Requested Change - Architectural package,Contractor-Requested Change,Contractor,2022-08-23,,177700,,0,Rejected,Architectural
CO-00107,PRJ-015,Design Error or Omission - Civil package,Design Error or Omission,Designer,2023-03-13,,358800,,7,Withdrawn,Civil
CO-00109,PRJ-015,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2024-05-24,,1116100,,5,Pending,Mechanical
CO-00111,PRJ-015,Material Substitution - Fire Protection package,Material Substitution,Contractor,2024-06-24,,555400,,2,Rejected,Fire Protection
CO-00112,PRJ-015,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2024-07-29,2024-09-03,181100,152100,0,Approved,Fire Protection
CO-00113,PRJ-015,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2024-09-04,,680300,,7,Pending,Architectural
CO-00106,PRJ-015,Material Substitution - Plumbing package,Material Substitution,Contractor,2024-09-09,,60700,,0,Pending,Plumbing
CO-00110,PRJ-015,Material Substitution - Architectural package,Material Substitution,Contractor,2024-11-23,,128300,,0,Pending,Architectural
CO-00117,PRJ-016,Unforeseen Condition - Electrical package,Unforeseen Condition,External,2021-09-11,2021-10-07,409500,349700,19,Approved,Electrical
CO-00120,PRJ-016,Material Substitution - Plumbing package,Material Substitution,Contractor,2021-10-24,,19800,,1,Pending,Plumbing
CO-00116,PRJ-016,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2023-02-01,,531300,,9,Pending,Electrical
CO-00119,PRJ-016,Material Substitution - Mechanical package,Material Substitution,Contractor,2023-02-17,,146300,,11,Pending,Mechanical
CO-00114,PRJ-016,Code or Regulatory Requirement - Architectural package,Code or Regulatory Requirement,External,2023-07-06,,244300,,6,Pending,Architectural
CO-00118,PRJ-016,Material Substitution - Electrical package,Material Substitution,Contractor,2023-08-24,2023-11-03,82900,60600,9,Approved,Electrical
CO-00115,PRJ-016,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2023-09-14,,136200,,10,Rejected,Fire Protection
CO-00123,PRJ-017,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2023-11-12,2023-12-10,179400,165400,16,Approved,Electrical
CO-00121,PRJ-017,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2023-11-20,2023-12-27,336600,265800,6,Approved,Mechanical
CO-00127,PRJ-017,Weather Impact - Plumbing package,Weather Impact,External,2024-05-14,,96100,,15,Pending,Plumbing
CO-00124,PRJ-017,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2025-05-20,,27300,,17,Pending,Electrical
CO-00129,PRJ-017,Owner-Directed Change - Civil package,Owner-Directed Change,Owner,2025-06-13,,311200,,12,Rejected,Civil
CO-00130,PRJ-017,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2025-07-05,,138400,,5,Pending,Electrical
CO-00128,PRJ-017,Design Error or Omission - Structural package,Design Error or Omission,Designer,2025-07-25,2025-09-01,111600,88800,11,Approved,Structural
CO-00122,PRJ-017,Contractor-Requested Change - Mechanical package,Contractor-Requested Change,Contractor,2025-08-24,,53000,,7,Rejected,Mechanical
CO-00126,PRJ-017,Coordination Issue - Electrical package,Coordination Issue,Contractor,2025-09-05,,175300,,14,Withdrawn,Electrical
CO-00125,PRJ-017,Contractor-Requested Change - Plumbing package,Contractor-Requested Change,Contractor,2025-09-08,2025-11-12,196000,172000,8,Approved,Plumbing
CO-00135,PRJ-018,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2024-03-19,2024-04-26,381200,392200,11,Approved,Fire Protection
CO-00136,PRJ-018,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2024-10-29,2024-11-29,903400,925700,10,Approved,Electrical
CO-00133,PRJ-018,Design Error or Omission - Architectural package,Design Error or Omission,Designer,2024-12-22,2025-01-29,512300,385800,0,Approved,Architectural
CO-00134,PRJ-018,Code or Regulatory Requirement - Structural package,Code or Regulatory Requirement,External,2025-06-03,2025-08-12,564300,493300,6,Approved,Structural
CO-00131,PRJ-018,Coordination Issue - Electrical package,Coordination Issue,Contractor,2025-06-29,2025-09-02,445800,328500,5,Approved,Electrical
CO-00132,PRJ-018,Material Substitution - Electrical package,Material Substitution,Contractor,2025-08-15,2025-09-12,953300,866800,4,Approved,Electrical
CO-00141,PRJ-019,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2024-11-20,2024-12-12,372800,313700,6,Approved,Structural
CO-00144,PRJ-019,Utility Conflict - Structural package,Utility Conflict,External,2024-12-29,,192500,,1,Rejected,Structural
CO-00138,PRJ-019,Unforeseen Condition - Mechanical package,Unforeseen Condition,External,2025-04-15,2025-05-07,446800,434700,1,Approved,Mechanical
CO-00137,PRJ-019,Unforeseen Condition - Plumbing package,Unforeseen Condition,External,2025-05-20,2025-07-19,456100,427300,10,Approved,Plumbing
CO-00140,PRJ-019,Scope Clarification - Mechanical package,Scope Clarification,Owner,2025-05-24,2025-07-19,158300,145400,5,Approved,Mechanical
CO-00139,PRJ-019,Code or Regulatory Requirement - Electrical package,Code or Regulatory Requirement,External,2025-06-21,,242900,,4,Pending,Electrical
CO-00143,PRJ-019,Code or Regulatory Requirement - Fire Protection package,Code or Regulatory Requirement,External,2025-06-27,2025-08-05,553700,542800,5,Approved,Fire Protection
CO-00142,PRJ-019,Design Error or Omission - Civil package,Design Error or Omission,Designer,2025-08-01,2025-10-03,245200,177900,9,Approved,Civil
CO-00145,PRJ-019,Unforeseen Condition - Structural package,Unforeseen Condition,External,2025-10-06,2025-11-08,552200,567100,9,Approved,Structural
CO-00152,PRJ-020,Design Error or Omission - Structural package,Design Error or Omission,Designer,2024-05-21,,234100,,2,Pending,Structural
CO-00146,PRJ-020,Utility Conflict - Architectural package,Utility Conflict,External,2024-07-28,,473900,,15,Withdrawn,Architectural
CO-00148,PRJ-020,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2024-08-06,,325400,,7,Withdrawn,Electrical
CO-00153,PRJ-020,Material Substitution - Architectural package,Material Substitution,Contractor,2025-01-20,2025-04-02,76700,71900,4,Approved,Architectural
CO-00154,PRJ-020,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2025-05-10,2025-07-26,171400,155000,17,Approved,Mechanical
CO-00151,PRJ-020,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2025-07-11,,156300,,7,Pending,Fire Protection
CO-00150,PRJ-020,Scope Clarification - Mechanical package,Scope Clarification,Owner,2025-07-25,,41100,,0,Pending,Mechanical
CO-00149,PRJ-020,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2025-09-14,,195300,,5,Rejected,Fire Protection
CO-00147,PRJ-020,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2025-12-15,,102800,,8,Pending,Architectural
CO-00156,PRJ-021,Scope Clarification - Structural package,Scope Clarification,Owner,2023-06-23,2023-07-11,141500,112800,1,Approved,Structural
CO-00159,PRJ-021,Scope Clarification - Civil package,Scope Clarification,Owner,2023-08-17,2023-09-19,736400,557000,0,Approved,Civil
CO-00155,PRJ-021,Coordination Issue - Architectural package,Coordination Issue,Contractor,2024-03-05,2024-04-10,194200,195600,3,Approved,Architectural
CO-00157,PRJ-021,Code or Regulatory Requirement - Structural package,Code or Regulatory Requirement,External,2024-05-12,,142100,,0,Pending,Structural
CO-00158,PRJ-021,Design Error or Omission - Plumbing package,Design Error or Omission,Designer,2024-10-10,,870700,,7,Pending,Plumbing
CO-00166,PRJ-022,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2024-11-21,,162600,,20,Rejected,Architectural
CO-00165,PRJ-022,Contractor-Requested Change - Architectural package,Contractor-Requested Change,Contractor,2025-01-14,2025-03-12,117500,96700,6,Approved,Architectural
CO-00168,PRJ-022,Design Error or Omission - Civil package,Design Error or Omission,Designer,2025-01-25,,100100,,6,Rejected,Civil
CO-00162,PRJ-022,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2025-02-20,,647600,,22,Rejected,Architectural
CO-00161,PRJ-022,Material Substitution - Fire Protection package,Material Substitution,Contractor,2025-03-31,2025-05-17,106600,89000,0,Approved,Fire Protection
CO-00163,PRJ-022,Coordination Issue - Plumbing package,Coordination Issue,Contractor,2025-04-05,,433100,,9,Pending,Plumbing
CO-00164,PRJ-022,Design Error or Omission - Civil package,Design Error or Omission,Designer,2025-06-07,,377600,,19,Pending,Civil
CO-00160,PRJ-022,Material Substitution - Architectural package,Material Substitution,Contractor,2025-06-21,2025-07-12,102600,82300,12,Approved,Architectural
CO-00167,PRJ-022,Coordination Issue - Fire Protection package,Coordination Issue,Contractor,2025-09-13,2025-10-28,140800,120800,9,Approved,Fire Protection
CO-00170,PRJ-023,Coordination Issue - Plumbing package,Coordination Issue,Contractor,2024-09-12,,211200,,8,Pending,Plumbing
CO-00176,PRJ-023,Utility Conflict - Fire Protection package,Utility Conflict,External,2024-09-12,,110000,,7,Pending,Fire Protection
CO-00172,PRJ-023,Coordination Issue - Electrical package,Coordination Issue,Contractor,2024-11-02,2024-11-29,708600,715200,2,Approved,Electrical
CO-00169,PRJ-023,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2025-02-17,2025-03-19,565600,502700,6,Approved,Structural
CO-00175,PRJ-023,Coordination Issue - Architectural package,Coordination Issue,Contractor,2025-04-13,2025-05-10,192000,159200,3,Approved,Architectural
CO-00173,PRJ-023,Unforeseen Condition - Plumbing package,Unforeseen Condition,External,2025-08-22,2025-10-14,485700,425600,16,Approved,Plumbing
CO-00174,PRJ-023,Contractor-Requested Change - Structural package,Contractor-Requested Change,Contractor,2025-11-02,2025-11-15,234000,214400,0,Approved,Structural
CO-00171,PRJ-023,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2025-11-10,2025-12-24,704800,713900,14,Approved,Fire Protection
CO-00178,PRJ-024,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2024-10-07,2025-01-04,197400,181500,17,Approved,Fire Protection
CO-00183,PRJ-024,Coordination Issue - Electrical package,Coordination Issue,Contractor,2024-12-22,,339000,,13,Withdrawn,Electrical
CO-00185,PRJ-024,Owner-Directed Change - Electrical package,Owner-Directed Change,Owner,2025-01-18,2025-03-14,1150500,1110400,8,Approved,Electrical
CO-00179,PRJ-024,Design Error or Omission - Civil package,Design Error or Omission,Designer,2025-02-04,2025-04-03,402000,316200,13,Approved,Civil
CO-00177,PRJ-024,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2025-02-06,,478700,,10,Pending,Fire Protection
CO-00180,PRJ-024,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2025-03-28,2025-05-19,3809600,3053100,14,Approved,Architectural
CO-00184,PRJ-024,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2025-04-10,2025-06-02,745600,572900,1,Approved,Fire Protection
CO-00181,PRJ-024,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2025-04-23,2025-05-12,1219600,1009200,12,Approved,Structural
CO-00182,PRJ-024,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2025-05-28,2025-07-09,685200,626900,11,Approved,Mechanical
CO-00189,PRJ-025,Scope Clarification - Mechanical package,Scope Clarification,Owner,2025-02-24,2025-04-12,220400,219500,0,Approved,Mechanical
CO-00190,PRJ-025,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2025-03-05,,138200,,7,Pending,Plumbing
CO-00188,PRJ-025,Design Error or Omission - Structural package,Design Error or Omission,Designer,2025-03-07,2025-04-01,85500,64200,0,Approved,Structural
CO-00187,PRJ-025,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2025-08-16,2025-08-25,75600,69600,3,Approved,Mechanical
CO-00186,PRJ-025,Code or Regulatory Requirement - Civil package,Code or Regulatory Requirement,External,2025-09-20,,173000,,9,Pending,Civil
CO-00191,PRJ-025,Code or Regulatory Requirement - Structural package,Code or Regulatory Requirement,External,2025-10-03,,71600,,9,Pending,Structural
CO-00192,PRJ-025,Material Substitution - Plumbing package,Material Substitution,Contractor,2025-12-13,2026-01-22,39900,36100,7,Approved,Plumbing
CO-00196,PRJ-026,Design Error or Omission - Mechanical package,Design Error or Omission,Designer,2024-08-12,,184200,,12,Pending,Mechanical
CO-00197,PRJ-026,Unforeseen Condition - Electrical package,Unforeseen Condition,External,2024-11-17,2025-01-08,78700,62900,15,Approved,Electrical
CO-00195,PRJ-026,Scope Clarification - Electrical package,Scope Clarification,Owner,2024-11-21,,123500,,4,Rejected,Electrical
CO-00194,PRJ-026,Utility Conflict - Architectural package,Utility Conflict,External,2025-01-18,2025-02-13,115900,105700,4,Approved,Architectural
