Performance_Record_ID,Project_ID,Reporting_Date,Planned_Value,Earned_Value,Actual_Cost,Percent_Complete,Committed_Cost,Contingency_Used,Forecast_End_Date,Open_RFI_Count,Pending_CO_Value,Approved_CO_Value
PERF-000028,PRJ-002,2022-12-31,56818100,48923500,54224800,23.0,112365000,2616100,2024-06-06,1,975700,3766200
PERF-000029,PRJ-002,2023-01-31,68790900,59458600,65658100,27.9,112365000,3020300,2024-06-10,1,975700,3766200
PERF-000030,PRJ-002,2023-02-28,80048000,69442800,74272000,32.6,121908400,3710700,2024-06-14,1,975700,3766200
PERF-000031,PRJ-002,2023-03-31,92842400,80893100,90759600,38.0,121908400,3868300,2024-06-19,2,975700,6172100
PERF-000032,PRJ-002,2023-04-30,105398300,92249400,102210600,43.3,141093300,4694900,2024-06-23,1,975700,6172100
PERF-000033,PRJ-002,2023-05-31,118384600,104139100,114987300,48.9,169501000,4694900,2024-06-28,1,975700,6172100
PERF-000034,PRJ-002,2023-06-30,130802600,115671100,131474300,54.3,174210500,4801300,2024-07-03,1,975700,6172100
PERF-000035,PRJ-002,2023-07-31,143312100,127484700,146290500,59.9,206180800,5330600,2024-07-08,1,975700,6172100
PERF-000036,PRJ-002,2023-08-31,155323000,139062200,159001900,65.3,206180800,5588600,2024-07-12,1,975700,6172100
PERF-000037,PRJ-002,2023-09-30,166309000,149916000,170958200,70.4,218686600,6312300,2024-07-17,1,975700,6172100
PERF-000038,PRJ-002,2023-10-31,176834600,160640200,188488800,75.5,232322100,6312300,2024-07-21,2,975700,6172100
PERF-000039,PRJ-002,2023-11-30,186059600,170418700,191732900,80.0,232322100,6569100,2024-07-25,2,975700,6172100
PERF-000040,PRJ-002,2023-12-31,194431200,179774200,204590100,84.4,249551100,7188600,2024-07-25,1,975700,6172100
PERF-000041,PRJ-002,2024-01-31,201451800,188236500,217703800,88.4,253608900,7188600,2024-07-25,1,975700,6172100
PERF-000042,PRJ-002,2024-02-29,206643500,195226400,224335500,91.7,253608900,7839300,2024-07-25,1,1563700,6172100
PERF-000043,PRJ-002,2024-03-31,210558900,201582000,235180300,94.7,255830000,7839300,2024-07-25,3,1563700,6172100
PERF-000044,PRJ-002,2024-04-30,212580800,206511600,236190400,97.0,255830000,7839300,2024-07-25,2,1563700,6172100
PERF-000045,PRJ-002,2024-05-31,212894800,210214200,248382500,98.7,259096400,7839300,2024-07-25,3,1563700,6172100
PERF-000046,PRJ-002,2024-06-30,212894800,212327000,248382500,99.7,259096400,8462500,2024-07-25,2,1563700,6172100
PERF-000047,PRJ-002,2024-07-31,212894800,212894800,248382500,100.0,259096400,8462500,2024-07-25,2,1563700,6172100
PERF-000048,PRJ-003,2023-02-28,81900,73600,76500,0.1,10160800,281000,2025-03-13,0,0,0
PERF-000049,PRJ-003,2023-03-31,634600,571100,587400,1.0,14861700,325000,2025-03-13,0,0,0
PERF-000050,PRJ-003,2023-04-30,1629700,1468900,1567400,2.7,14861700,351200,2025-03-13,0,0,0
PERF-000051,PRJ-003,2023-05-31,3089500,2789400,2965900,5.1,17029800,351200,2025-03-14,0,0,0
PERF-000052,PRJ-003,2023-06-30,4877800,4411600,4609400,8.0,17029800,394100,2025-03-15,0,0,0
PERF-000053,PRJ-003,2023-07-31,7069900,6406300,6712800,11.6,17029800,509100,2025-03-17,0,0,153300
PERF-000054,PRJ-003,2023-08-31,9567000,8686600,9315500,15.7,17637100,609700,2025-03-19,0,0,153300
PERF-000055,PRJ-003,2023-09-30,12231600,11129100,11897100,20.2,28118600,652600,2025-03-22,0,0,238100
PERF-000056,PRJ-003,2023-10-31,15197400,13859300,14747400,25.1,28118600,949400,2025-03-24,0,0,238100
PERF-000057,PRJ-003,2023-11-30,18230800,16665200,17597700,30.2,28118600,982800,2025-03-27,0,0,238100
PERF-000058,PRJ-003,2023-12-31,21490300,19696500,21413800,35.7,30500100,1059600,2025-03-30,0,0,238100
PERF-000059,PRJ-003,2024-01-31,24832100,22823800,24213700,41.3,35180200,1059600,2025-04-02,0,0,504700
PERF-000060,PRJ-003,2024-02-29,27992800,25802300,28082700,46.7,37088200,1257000,2025-04-05,1,0,504700
PERF-000061,PRJ-003,2024-03-31,31365500,29006300,31322500,52.5,45277900,1451500,2025-04-08,0,0,504700
PERF-000062,PRJ-003,2024-04-30,34582100,32091500,35542500,58.1,47145000,1451500,2025-04-11,0,0,504700
PERF-000063,PRJ-003,2024-05-31,37813100,35226100,37866700,63.8,47145000,1451500,2025-04-13,2,0,504700
PERF-000064,PRJ-003,2024-06-30,40807800,38172000,40883100,69.1,56879700,1623900,2025-04-16,0,0,628500
PERF-000065,PRJ-003,2024-07-31,43722000,41088400,45747600,74.4,59346200,1733600,2025-04-19,1,0,628500
PERF-000066,PRJ-003,2024-08-31,46408300,43836800,48115400,79.4,62429700,1828500,2025-04-22,1,0,628500
PERF-000067,PRJ-003,2024-09-30,48748400,46300600,51219000,83.8,62429700,1828500,2025-04-22,1,0,628500
PERF-000068,PRJ-003,2024-10-31,50854400,48606500,53608400,88.0,62731300,1999100,2025-04-22,1,0,628500
PERF-000069,PRJ-003,2024-11-30,52548300,50570000,55120300,91.6,62731300,2216400,2025-04-22,1,0,628500
PERF-000070,PRJ-003,2024-12-31,53899100,52284600,57192400,94.7,62731300,2216400,2025-04-22,3,0,704900
PERF-000071,PRJ-003,2025-01-31,54799200,53641700,58709300,97.1,62731300,2216400,2025-04-22,2,0,704900
PERF-000072,PRJ-003,2025-02-28,55187100,54528300,59224400,98.7,62731300,2292100,2025-04-22,2,0,704900
PERF-000073,PRJ-003,2025-03-31,55221600,55098900,61577600,99.8,63566100,2292100,2025-04-22,3,0,704900
PERF-000074,PRJ-003,2025-04-30,55221600,55221600,61577600,100.0,63566100,2292100,2025-04-22,3,0,704900
PERF-000075,PRJ-004,2022-05-31,53500,48600,52700,0.0,27973300,78300,2025-01-21,0,0,0
PERF-000076,PRJ-004,2022-06-30,641700,583700,623200,0.5,27973300,177400,2025-01-21,1,0,0
PERF-000077,PRJ-004,2022-07-31,1896200,1726900,1897900,1.5,27973300,574000,2025-01-21,0,0,0
PERF-000078,PRJ-004,2022-08-31,3762900,3430600,3705000,2.9,27973300,574000,2025-01-21,1,0,0
PERF-000079,PRJ-004,2022-09-30,6109100,5576000,5993000,4.7,27973300,662000,2025-01-22,0,0,0
PERF-000080,PRJ-004,2022-10-31,9046700,8267400,8917600,7.0,35651400,662000,2025-01-23,0,0,0
PERF-000081,PRJ-004,2022-11-30,12343700,11294400,12070300,9.5,41344800,904900,2025-01-25,0,0,0
PERF-000082,PRJ-004,2022-12-31,16175300,14820200,15978900,12.5,41344800,1150500,2025-01-26,0,0,0
PERF-000083,PRJ-004,2023-01-31,20393400,18711200,20124000,15.7,52027400,1150500,2025-01-28,0,0,0
PERF-000084,PRJ-004,2023-02-28,24497300,22506700,24541100,18.9,52027400,1150500,2025-01-30,0,0,0
PERF-000085,PRJ-004,2023-03-31,29324600,26983500,29449700,22.7,52027400,1665900,2025-02-02,0,0,0
PERF-000086,PRJ-004,2023-04-30,34238100,31554700,34288500,26.5,62124500,1665900,2025-02-04,1,0,0
PERF-000087,PRJ-004,2023-05-31,39521000,36486400,39906300,30.7,73262500,1665900,2025-02-06,0,0,0
PERF-000088,PRJ-004,2023-06-30,44789800,41423600,45600100,34.8,73663700,1922400,2025-02-09,0,0,0
PERF-000089,PRJ-004,2023-07-31,50351300,46656900,51372500,39.2,84649900,2196600,2025-02-12,1,0,0
PERF-000090,PRJ-004,2023-08-31,55986600,51984600,56888200,43.7,88445200,2196600,2025-02-14,1,0,0
PERF-000091,PRJ-004,2023-09-30,61467200,57193300,64552600,48.1,88445200,2313800,2025-02-17,0,0,0
PERF-000092,PRJ-004,2023-10-31,67114100,62591400,69346200,52.6,105014100,2870700,2025-02-20,0,0,0
PERF-000093,PRJ-004,2023-11-30,72520300,67793900,74329700,57.0,105014100,2900800,2025-02-22,0,0,0
PERF-000094,PRJ-004,2023-12-31,78001800,73109100,82169500,61.5,105014100,3077700,2025-02-25,0,0,0
PERF-000095,PRJ-004,2024-01-31,83331300,78323500,87838900,65.9,115844200,3127500,2025-02-28,1,0,0
PERF-000096,PRJ-004,2024-02-29,88139000,83075000,93379800,69.9,121337300,3493800,2025-03-02,3,0,161900
PERF-000097,PRJ-004,2024-03-31,93044500,87981500,100997100,74.0,121911200,3586500,2025-03-04,3,0,161900
PERF-000098,PRJ-004,2024-04-30,97519900,92523500,104663300,77.8,121911200,3724700,2025-03-07,4,0,161900
PERF-000099,PRJ-004,2024-05-31,101818900,96965200,111299400,81.5,139798000,3943900,2025-03-08,2,0,161900
PERF-000100,PRJ-004,2024-06-30,105621500,100983000,117207500,84.9,142160500,4050300,2025-03-08,2,0,161900
PERF-000101,PRJ-004,2024-07-31,109136800,104806500,119069600,88.1,142160500,4204200,2025-03-08,2,0,276800
PERF-000102,PRJ-004,2024-08-31,112186100,108257000,123097900,91.0,142160500,4354200,2025-03-08,2,0,276800
PERF-000103,PRJ-004,2024-09-30,114650100,111203800,128057800,93.5,142160500,4445400,2025-03-08,3,0,276800
PERF-000104,PRJ-004,2024-10-31,116648600,113804900,129156100,95.7,142160500,4594700,2025-03-08,3,0,276800
PERF-000105,PRJ-004,2024-11-30,118010200,115855500,136597000,97.4,144409700,4790300,2025-03-08,3,0,276800
PERF-000106,PRJ-004,2024-12-31,118781100,117453900,136597000,98.8,144409700,4858000,2025-03-08,3,0,276800
PERF-000107,PRJ-004,2025-01-31,118914500,118483900,138905600,99.6,144409700,4858000,2025-03-08,3,0,276800
PERF-000108,PRJ-004,2025-02-28,118914500,118892800,138905600,100.0,144409700,5027400,2025-03-08,3,0,1494700
PERF-000109,PRJ-004,2025-03-31,118914500,118914500,138905600,100.0,144409700,5132500,2025-03-08,4,0,1494700
PERF-000110,PRJ-005,2022-10-31,408900,412400,418400,0.5,16979500,156200,2024-09-01,1,0,0
PERF-000111,PRJ-005,2022-11-30,1587500,1600800,1649300,2.1,16979500,350100,2024-09-01,0,0,0
PERF-000112,PRJ-005,2022-12-31,3537600,3566600,3578400,4.7,18391200,479100,2024-09-01,0,0,0
PERF-000113,PRJ-005,2023-01-31,6153100,6202600,6348000,8.1,21688500,497200,2024-09-01,0,0,145200
PERF-000114,PRJ-005,2023-02-28,9021400,9092600,9099700,11.9,24284800,497200,2024-09-01,0,0,145200
PERF-000115,PRJ-005,2023-03-31,12683800,12781700,13083300,16.7,24284800,621600,2024-08-31,0,0,145200
PERF-000116,PRJ-005,2023-04-30,16642800,16768100,16681800,21.9,25956800,727700,2024-08-31,1,0,145200
PERF-000117,PRJ-005,2023-05-31,21084900,21239200,21791800,27.7,41642400,843800,2024-08-31,1,346500,145200
PERF-000118,PRJ-005,2023-06-30,25649500,25831600,26307600,33.7,47648100,872800,2024-08-31,0,346500,145200
PERF-000119,PRJ-005,2023-07-31,30563400,30773000,31876000,40.2,49228400,937100,2024-08-30,0,346500,145200
PERF-000120,PRJ-005,2023-08-31,35599100,35834000,36594800,46.8,53849100,1165900,2024-08-30,0,346500,145200
PERF-000121,PRJ-005,2023-09-30,40513500,40769500,41639100,53.2,57576500,1165900,2024-08-30,1,346500,145200
PERF-000122,PRJ-005,2023-10-31,45556800,45830500,47866400,59.8,68381600,1474800,2024-08-30,1,346500,145200
PERF-000123,PRJ-005,2023-11-30,50329600,50615200,52886000,66.1,74955300,1474800,2024-08-30,1,346500,145200
PERF-000124,PRJ-005,2023-12-31,55072700,55364300,58721300,72.3,74955300,1503900,2024-08-29,1,346500,145200
PERF-000125,PRJ-005,2024-01-31,59545200,59835400,61708200,78.1,74955300,1609300,2024-08-29,2,346500,145200
PERF-000126,PRJ-005,2024-02-29,63413700,63695100,65702900,83.1,81055000,1758900,2024-08-29,1,346500,145200
PERF-000127,PRJ-005,2024-03-31,67136800,67399600,69695900,88.0,81589800,1759500,2024-08-29,1,346500,145200
PERF-000128,PRJ-005,2024-04-30,70260700,70495600,72841200,92.0,81589800,1759500,2024-08-29,1,346500,145200
PERF-000129,PRJ-005,2024-05-31,72916400,73111200,76875300,95.4,82963800,2003100,2024-08-29,1,346500,145200
PERF-000130,PRJ-005,2024-06-30,74858600,75002700,79264400,97.9,83384800,2003100,2024-08-29,1,346500,145200
PERF-000131,PRJ-005,2024-07-31,76139200,76217800,79486300,99.5,83384800,2202900,2024-08-29,1,346500,145200
PERF-000132,PRJ-005,2024-08-31,76603000,76603500,81439200,100.0,83882400,2202900,2024-08-29,1,724700,307400
PERF-000133,PRJ-006,2022-01-31,3140700,3090800,3300800,8.5,12060400,125000,2024-09-06,0,0,218100
PERF-000134,PRJ-006,2022-02-28,3960100,3897900,4040400,10.8,12060400,326700,2024-09-06,0,0,218100
PERF-000135,PRJ-006,2022-03-31,4954300,4877500,5154300,13.5,15161500,326700,2024-09-07,0,0,218100
PERF-000136,PRJ-006,2022-04-30,5995900,5904200,6155700,16.3,15161500,353600,2024-09-07,1,0,218100
PERF-000137,PRJ-006,2022-05-31,7146200,7038500,7447300,19.4,15161500,353600,2024-09-07,0,0,218100
PERF-000138,PRJ-006,2022-06-30,8323300,8199700,8708500,22.6,15161500,353600,2024-09-08,1,0,218100
PERF-000139,PRJ-006,2022-07-31,9597400,9457200,9954400,26.1,19754000,423100,2024-09-08,0,0,218100
PERF-000140,PRJ-006,2022-08-31,10922100,10765300,11553200,29.7,20288400,489600,2024-09-09,0,0,218100
PERF-000141,PRJ-006,2022-09-30,12244300,12071800,13066200,33.3,23802000,489600,2024-09-09,0,0,218100
PERF-000142,PRJ-006,2022-10-31,13644100,13455700,14486100,37.2,23802000,489600,2024-09-10,1,0,218100
PERF-000143,PRJ-006,2022-11-30,15023500,14820300,15892000,40.9,26581400,512500,2024-09-10,0,0,218100
PERF-000144,PRJ-006,2022-12-31,16466200,16248600,17108100,44.9,26581400,551000,2024-09-11,0,0,218100
PERF-000145,PRJ-006,2023-01-31,17918300,17687400,19193100,48.8,27121200,608700,2024-09-11,0,0,218100
PERF-000146,PRJ-006,2023-02-28,19231000,18989200,19961300,52.4,30032100,720100,2024-09-12,0,0,218100
PERF-000147,PRJ-006,2023-03-31,20678000,20425500,22369100,56.4,32700500,720100,2024-09-12,0,0,218100
PERF-000148,PRJ-006,2023-04-30,22064300,21803000,23796600,60.2,34770600,779800,2024-09-13,1,0,218100
PERF-000149,PRJ-006,2023-05-31,23474300,23205800,24813300,64.1,34887600,840800,2024-09-13,0,0,218100
PERF-000150,PRJ-006,2023-06-30,24809100,24535700,26915000,67.8,34887600,840800,2024-09-13,0,0,218100
PERF-000151,PRJ-006,2023-07-31,26149700,25873500,27817200,71.5,34887600,846000,2024-09-14,0,0,218100
PERF-000152,PRJ-006,2023-08-31,27442700,27166200,29792300,75.0,39202500,942600,2024-09-14,0,0,218100
PERF-000153,PRJ-006,2023-09-30,28640900,28366600,30836500,78.3,40545700,1033900,2024-09-15,0,0,218100
PERF-000154,PRJ-006,2023-10-31,29815900,29546900,31682300,81.6,40545700,1033900,2024-09-15,0,0,218100
PERF-000155,PRJ-006,2023-11-30,30884200,30623300,34048300,84.6,41469700,1078300,2024-09-15,0,0,218100
PERF-000156,PRJ-006,2023-12-31,31909000,31659700,35471600,87.4,41789000,1109600,2024-09-15,0,0,384500
PERF-000157,PRJ-006,2024-01-31,32844900,32610900,35578500,90.1,41789000,1109600,2024-09-15,0,0,384500
PERF-000158,PRJ-006,2024-02-29,33632800,33416500,36947500,92.3,41789000,1109600,2024-09-15,2,0,384500
PERF-000159,PRJ-006,2024-03-31,34373400,34179800,38155000,94.4,41789000,1118200,2024-09-15,0,0,384500
PERF-000160,PRJ-006,2024-04-30,34982300,34814700,39252100,96.1,42052100,1118200,2024-09-15,0,0,384500
PERF-000161,PRJ-006,2024-05-31,35492100,35355800,39252100,97.6,42052100,1118200,2024-09-15,1,0,384500
PERF-000162,PRJ-006,2024-06-30,35862200,35760400,39517000,98.8,42052100,1170100,2024-09-15,0,0,384500
PERF-000163,PRJ-006,2024-07-31,36109000,36047700,39517000,99.5,42052100,1219300,2024-09-15,1,0,384500
PERF-000164,PRJ-006,2024-08-31,36209800,36194000,39517000,100.0,42052100,1219300,2024-09-15,0,0,384500
PERF-000165,PRJ-006,2024-09-30,36211800,36211800,39996600,100.0,42052100,1219300,2024-09-15,0,0,384500
PERF-000166,PRJ-007,2023-09-30,165300,157400,166400,0.5,4723100,124700,2025-06-03,0,0,0
PERF-000167,PRJ-007,2023-10-31,709500,676400,711800,2.3,7069700,124700,2025-06-03,0,0,76700
PERF-000168,PRJ-007,2023-11-30,1560700,1489100,1634000,5.0,9005500,192300,2025-06-03,1,0,76700
PERF-000169,PRJ-007,2023-12-31,2736100,2613200,2816200,8.8,9005500,233700,2025-06-04,2,0,168000
PERF-000170,PRJ-007,2024-01-31,4172200,3989000,4294500,13.5,11691900,293200,2025-06-05,1,0,168000
PERF-000171,PRJ-007,2024-02-29,5715800,5470600,5803400,18.5,13583200,293200,2025-06-06,1,0,168000
PERF-000172,PRJ-007,2024-03-31,7541300,7226900,7467500,24.4,15701900,347400,2025-06-07,3,0,243600
PERF-000173,PRJ-007,2024-04-30,9443300,9061400,10082200,30.7,18573400,459800,2025-06-08,1,0,243600
PERF-000174,PRJ-007,2024-05-31,11509300,11059900,11990700,37.4,19054900,483600,2025-06-09,2,0,243600
PERF-000175,PRJ-007,2024-06-30,13568100,13058400,14169600,44.2,21214400,580900,2025-06-11,2,0,243600
PERF-000176,PRJ-007,2024-07-31,15717600,15153600,16313500,51.3,24315200,604600,2025-06-12,1,0,243600
PERF-000177,PRJ-007,2024-08-31,17849400,17242100,19068600,58.3,24315200,766300,2025-06-14,1,0,243600
PERF-000178,PRJ-007,2024-09-30,19857600,19221500,21130400,65.0,29491800,766300,2025-06-15,1,0,243600
PERF-000179,PRJ-007,2024-10-31,21836500,21187100,23556300,71.7,31213400,854000,2025-06-16,1,0,243600
PERF-000180,PRJ-007,2024-11-30,23620700,22977000,25828400,77.7,33809400,958500,2025-06-18,1,0,243600
PERF-000181,PRJ-007,2024-12-31,25289700,24674100,27321700,83.5,33809400,958500,2025-06-18,1,0,243600
PERF-000182,PRJ-007,2025-01-31,26741300,26178800,28318400,88.6,33809400,977900,2025-06-18,2,0,243600
PERF-000183,PRJ-007,2025-02-28,27831600,27341300,30322600,92.5,33809400,1093300,2025-06-18,1,0,243600
PERF-000184,PRJ-007,2025-03-31,28757200,28376200,32514200,96.0,34889900,1108200,2025-06-18,1,0,243600
PERF-000185,PRJ-007,2025-04-30,29334200,29091000,32514200,98.4,34889900,1119600,2025-06-18,1,0,243600
PERF-000186,PRJ-007,2025-05-31,29561700,29496800,32761900,99.8,34889900,1130900,2025-06-18,1,0,243600
PERF-000187,PRJ-007,2025-06-30,29562600,29562600,32982900,100.0,34889900,1130900,2025-06-18,1,0,243600
PERF-000188,PRJ-008,2023-08-31,421200,395100,427600,0.3,27156400,203200,2025-07-08,0,0,0
PERF-000189,PRJ-008,2023-09-30,2069900,1943700,2090200,1.6,27156400,493100,2025-07-08,0,0,0
PERF-000190,PRJ-008,2023-10-31,4969000,4670900,5236500,3.8,29902300,685100,2025-07-08,1,0,0
PERF-000191,PRJ-008,2023-11-30,8812700,8293300,9013500,6.8,29902300,685100,2025-07-09,1,0,0
PERF-000192,PRJ-008,2023-12-31,13733400,12939700,13975400,10.6,48273600,793400,2025-07-10,0,0,0
PERF-000193,PRJ-008,2024-01-31,19492400,18389800,20198600,15.0,48273600,1056400,2025-07-11,0,0,0
PERF-000194,PRJ-008,2024-02-29,25525900,24113400,26934500,19.7,63709100,1507200,2025-07-13,1,0,731300
PERF-000195,PRJ-008,2024-03-31,32545500,30790700,33728900,25.2,63709100,1507200,2025-07-14,0,0,731300
PERF-000196,PRJ-008,2024-04-30,39782100,37695800,41808600,30.8,63709100,1838200,2025-07-16,1,0,731300
PERF-000197,PRJ-008,2024-05-31,47594200,45176700,49426700,37.0,71910900,2070800,2025-07-18,1,0,731300
PERF-000198,PRJ-008,2024-06-30,55359000,52642900,57717200,43.1,87873000,2379300,2025-07-19,3,0,731300
PERF-000199,PRJ-008,2024-07-31,63470300,60479700,67372900,49.5,103166500,2744800,2025-07-21,4,0,731300
PERF-000200,PRJ-008,2024-08-31,71544600,68325800,78069200,55.9,116203100,3333100,2025-07-23,4,0,731300
PERF-000201,PRJ-008,2024-09-30,79203200,75818700,86028400,62.0,116203100,3333100,2025-07-25,4,0,1079100
PERF-000202,PRJ-008,2024-10-31,86832800,83345600,94985600,68.2,124493400,3902700,2025-07-27,5,0,1989200
PERF-000203,PRJ-008,2024-11-30,93822300,90313000,105087200,73.9,132624800,3902700,2025-07-28,6,0,1989200
PERF-000204,PRJ-008,2024-12-31,100513900,97073000,114251200,79.4,137752500,4384600,2025-07-30,6,0,1989200
PERF-000205,PRJ-008,2025-01-31,106539700,103271600,117728400,84.5,143517700,4503600,2025-07-30,6,0,1989200
PERF-000206,PRJ-008,2025-02-28,111304200,108291800,126206300,88.6,146720400,4911300,2025-07-30,5,0,1989200
PERF-000207,PRJ-008,2025-03-31,115711000,113102800,132695600,92.5,147702600,4911300,2025-07-30,5,0,3171000
PERF-000208,PRJ-008,2025-04-30,118991000,116905700,136764500,95.6,147702600,5057700,2025-07-30,6,0,3171000
PERF-000209,PRJ-008,2025-05-31,121238800,119841600,141634100,98.0,148787100,5099900,2025-07-30,5,0,3171000
PERF-000210,PRJ-008,2025-06-30,122190800,121613300,144208900,99.5,149285000,5326700,2025-07-30,6,0,3374500
PERF-000211,PRJ-008,2025-07-31,122227200,122227200,144902900,100.0,149285000,5522200,2025-07-30,5,0,4930100
PERF-000212,PRJ-009,2022-01-31,1023200,808600,947500,2.3,12176200,272500,2023-04-15,1,24400,0
PERF-000213,PRJ-009,2022-02-28,2387300,1896500,2193300,5.5,12176200,432300,2023-04-16,2,24400,0
PERF-000214,PRJ-009,2022-03-31,4439900,3549600,4158000,10.3,12176200,432300,2023-04-20,2,24400,0
PERF-000215,PRJ-009,2022-04-30,6870900,5530000,6277500,16.0,15274500,526000,2023-04-25,2,24400,0
PERF-000216,PRJ-009,2022-05-31,9737400,7897100,9423900,22.8,15274500,703700,2023-04-30,2,24400,0
PERF-000217,PRJ-009,2022-06-30,12754000,10428500,12721500,30.1,17916600,997100,2023-05-06,2,24400,116400
PERF-000218,PRJ-009,2022-07-31,16017200,13220100,16208200,38.2,25352300,1122100,2023-05-12,4,24400,292500
PERF-000219,PRJ-009,2022-08-31,19322000,16116700,20298700,46.6,30040800,1363600,2023-05-19,2,213700,292500
PERF-000220,PRJ-009,2022-09-30,22458400,18949300,23754100,54.8,33759900,1677600,2023-05-25,2,213700,292500
PERF-000221,PRJ-009,2022-10-31,25530700,21834000,28009400,63.1,36511200,1772400,2023-06-01,3,213700,292500
PERF-000222,PRJ-009,2022-11-30,28240300,24515100,31925800,70.9,44222300,1992500,2023-06-07,4,213700,667100
PERF-000223,PRJ-009,2022-12-31,30662900,27098500,35222900,78.3,46315600,2288000,2023-06-13,3,213700,667100
PERF-000224,PRJ-009,2023-01-31,32595500,29417900,38411600,85.0,46526300,2466400,2023-06-14,3,240600,667100
PERF-000225,PRJ-009,2023-02-28,33830300,31223800,41898200,90.3,47654700,2627400,2023-06-14,4,240600,667100
PERF-000226,PRJ-009,2023-03-31,34532600,32834300,43129000,94.9,47654700,2666100,2023-06-14,4,240600,667100
PERF-000227,PRJ-009,2023-04-30,34594800,33935600,45301100,98.1,47654700,2798200,2023-06-14,4,240600,667100
PERF-000228,PRJ-009,2023-05-31,34594800,34528500,45833700,99.8,47654700,2847800,2023-06-14,5,240600,667100
PERF-000229,PRJ-009,2023-06-30,34594800,34594800,45833700,100.0,47654700,2892700,2023-06-14,5,240600,667100
PERF-000230,PRJ-010,2022-03-31,84100,91700,90600,0.1,20445800,627400,2024-02-18,0,0,0
PERF-000231,PRJ-010,2022-04-30,1134400,1235700,1233700,1.1,29605900,779800,2024-02-18,2,0,0
PERF-000232,PRJ-010,2022-05-31,3391300,3688700,3708200,3.2,29605900,923800,2024-02-18,1,0,0
PERF-000233,PRJ-010,2022-06-30,6598000,7165700,7270900,6.2,29605900,1004200,2024-02-18,0,0,0
PERF-000234,PRJ-010,2022-07-31,10852300,11766400,11775700,10.2,37612600,1004200,2024-02-16,0,0,0
