Generated_UTC,Priority_Rank,Project_ID,Project_Name,Health_Status,CPI,SPI,Forecast_Overrun_Pct,Schedule_Delay_Days,Contingency_Utilization_Pct,Primary_Risk_Driver,All_Risk_Triggers,Recommended_Workflow
2026-07-30T00:26:38+00:00,38,PRJ-016,Canyon Ridge Processing Plant,Red,0.82522504,1.0,0.21179067,11,0.817648,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,39,PRJ-031,Canyon Ridge Medical Center,Red,0.82846031,1.0,0.20705842,25,0.87905028,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 15 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,40,PRJ-008,Northstar Community College,Red,0.84351107,1.0,0.1855209,23,0.84496741,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 15 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,41,PRJ-042,Northstar Corporate Campus,Red,0.8907871,1.0,0.1226027,0,0.6958544,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,42,PRJ-007,Granite Peak Apartments,Red,0.89630081,1.0,0.11569686,16,0.69555323,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 15 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,43,PRJ-022,Summit Point Public Safety Center,Red,0.90723757,0.92172148,0.10224712,48,0.46367188,Forecast overrun > 10%,Forecast overrun > 10%; Delay > 30 days; CPI < 0.95; SPI < 0.95,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,44,PRJ-006,Red Rock Bridge Rehabilitation,Red,0.90537196,1.0,0.10451842,10,0.66273508,Forecast overrun > 10%,Forecast overrun > 10%; CPI < 0.95,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,45,PRJ-011,Westfield Housing,Red,0.9061798,1.0,0.10353376,30,0.59828955,Forecast overrun > 10%,Forecast overrun > 10%; CPI < 0.95; Delay > 15 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,46,PRJ-028,Evergreen Residences,Red,0.92408837,1.0,0.08214759,35,0.54017857,Delay > 30 days,Delay > 30 days; CPI < 0.95; Forecast overrun > 5%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,47,PRJ-071,Canyon Ridge Public Safety Center,Red,0.92885154,0.91722681,0.07659831,71,0.52306015,Delay > 30 days,Delay > 30 days; CPI < 0.95; SPI < 0.95; Forecast overrun > 5%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,48,PRJ-001,Desert Willow Public Safety Center,Red,0.92993457,0.99560331,0.07534448,45,0.57016051,Delay > 30 days,Delay > 30 days; CPI < 0.95; Forecast overrun > 5%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,49,PRJ-057,Highland Park Medical Center,Red,0.9575722,0.9863691,0.04430768,68,0.60983989,Delay > 30 days,Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,50,PRJ-023,Blue Mesa Medical Center,Red,0.96096214,0.92220711,0.04062372,66,0.46605404,Delay > 30 days,Delay > 30 days; SPI < 0.95,Immediate executive/project-controls review
